COD LIGA,"CONTINENTE","PAIS","ENCENDIDO","LIGA","BETPLAY","BETSSON","SPORTIUM","STAKE","WPLAY","BWIN","BETANO","RUSHBET","CODERE PAIS","CODERE LIGA","ZAMBA","YA JUEGO","RIVALO","LUCKIA","BINGOCASINOS"	
1,"SUDAMERICA","Colombia","ACTIVO","Primera A Colombia","https://betplay.com.co/apuestas#sports-hub/football/colombia/liga_betplay_dimayor","https://www.betsson.co/apuestas-deportivas/futbol/colombia/colombia-primera-a?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-co-sb_type_19311/matches","https://stake.com.co/es/deportes/football/colombia/primera","https://apuestas.wplay.co/es/t/19311/Colombia-Primera-A","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/colombia-45","https://www.betano.co/sport/futbol/colombia/categoria-primera-a/16940/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/colombia/liga_betplay_dimayor","Colombia","Primera A Colombia","https://www.zamba.co/deportes/f%C3%BAtbol/colombia/primera-a,-apertura/matches/63528.1","https://sports.yajuego.co/competition/soccer/colombia/primeraa/1-325-167171","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:27070","https://www.luckia.co/apuestas/futbol/colombia-primera-a/51050/?date=sve","https://bingocasinos.co/es/football/liga+%C3%81guila"	
2,"SUDAMERICA","Colombia","","Primera B Colombia","https://betplay.com.co/apuestas#sports-hub/football/colombia/torneo_betplay_dimayor","https://www.betsson.co/apuestas-deportivas/futbol/colombia/colombia-primera-b?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-co-sb_type_29812/matches","","","","","","Colombia","","","","","",""	
3,"SUDAMERICA","Colombia","","Copa Colombia","https://betplay.com.co/apuestas#sports-hub/football/colombia/copa_betplay_dimayor","https://www.betsson.co/apuestas-deportivas/futbol/colombia/copa-colombia?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-co-sb_type_29698/matches","https://stake.com.co/es/deportes/football/colombia/copa-colombia","","","","https://www.rushbet.co/?page=sportsbook#filter/football/colombia/copa_betplay_dimayor","Colombia","","","","","",""	
4,"SUDAMERICA","Argentina","ACTIVO","Primera A Argentina","https://betplay.com.co/apuestas#sports-hub/football/argentina/liga_profesional_argentina","https://www.betsson.co/apuestas-deportivas/futbol/argentina/argentina-liga-profesional?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ar-sb_type_19296/matches","https://stake.com.co/es/deportes/football/argentina/primera-division","https://apuestas.wplay.co/es/t/19296/Argentina-Liga-Profesional-de-F%C3%BAtbol","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/argentina-38/liga-profesional-102540","https://www.betano.co/sport/futbol/argentina/torneo-betano/195785/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/argentina/liga_profesional_argentina","Argentina","Liga Profesional","https://www.zamba.co/deportes/f%C3%BAtbol/argentina/primera-divisi%C3%B3n/matches/60341.1","https://sports.yajuego.co/popularCoupons/0/ligaprofesional/2102","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:155","","https://bingocasinos.co/es/football/ligaaprofesional-12-13"	
5,"SUDAMERICA","Argentina","","Primera B Nacional","https://betplay.com.co/apuestas#sports-hub/football/argentina/primera_b_nacional","","","","","","","","Argentina","","","","","",""	
6,"SUDAMERICA","Argentina","ACTIVO","Copa Argentina","https://betplay.com.co/apuestas#sports-hub/football/argentina/copa_argentina","https://www.betsson.co/apuestas-deportivas/futbol/argentina/copa-argentina?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ar-sb_type_19572/matches","","","","","","Argentina","Copa Argentina","https://www.zamba.co/deportes/f%C3%BAtbol/argentina/copa-argentina/matches/60370.1","","","https://www.luckia.co/apuestas/futbol/copa-argentina/51993/?date=sve","https://bingocasinos.co/es/football/copaaargentina-12-13"	
7,"SUDAMERICA","Brasil","ACTIVO","Seria A Brasileirao","https://betplay.com.co/apuestas#sports-hub/football/brazil/brasileirao_serie_a","https://www.betsson.co/apuestas-deportivas/futbol/brasil/brasil-serie-a?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-br-sb_type_19297/matches","https://stake.com.co/es/deportes/football/brazil/serie-a","https://apuestas.wplay.co/es/t/19297/Brasil-Serie-A","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/brasil-33/brasileiro-serie-a-102838","https://www.betano.co/sport/futbol/brasil/brasileirao-serie-a-betano/10016/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/brazil/brasileirao_serie_a","Brasil","Serie A Brasil","https://www.zamba.co/deportes/futbol/brasil/brasileiro-serie-a","https://sports.yajuego.co/popularCoupons/0/brasileiros%C3%A9riea/797","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:325","https://www.luckia.co/apuestas/futbol/brasil-carioca-serie-a/50474/?date=sve","https://bingocasinos.co/es/football/serieaa-14-13"	
8,"SUDAMERICA","Brasil","","Seria B Brasileirao","https://betplay.com.co/apuestas#sports-hub/football/brazil/brasileirao_serie_b","https://www.betsson.co/apuestas-deportivas/futbol/brasil/brasil-serie-b?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-br-sb_type_19393/matches","","","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/brasil-33/brasileiro-serie-b-102361","https://www.betano.co/sport/futbol/brasil/brasileirao-serie-b/10017/?bt=matchresult","","Brasil","","","","","",""	
9,"SUDAMERICA","Brasil","","Copa Brasil","https://betplay.com.co/apuestas#sports-hub/football/brazil/copa_do_brasil","https://www.betsson.co/apuestas-deportivas/futbol/brasil/copa-de-brasil?tab=liveAndUpcoming","","","","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/brasil-33/copa-de-brasil-102723","https://www.betano.co/sport/futbol/brasil/copa-betano-do-brasil/10008/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/brazil/copa_do_brasil","Brasil","","","","","",""	
